alloy_rep_id,log_max_stress,log_max_strain,bc_1,bc_2,bc_3,bc_4,toughness,young_mod,frac_stress,alloy,Mo,Nb,Ta,V,W,rep,Experiment,alloy_cnt
0.1_0_0_0.9_0_2,2.66395153568348,-2.30058709033137,8.30326318795991,4.1427645997771,-0.571061121147788,-0.0126234676999847,0.829165612806368,202.220898155835,14.1558253377285,MoV,0.1,0,0,0.9,0,2,100,66
0.1_0_0_0.9_0_3,2.66358431843918,-2.29065652212877,8.35303517311115,4.1531486706325,-0.585994858091407,-0.0132201571782447,0.8424991896795,202.196486625973,14.1890975740073,MoV,0.1,0,0,0.9,0,3,100,66
0.1_0_0_0_0.9_1,3.60943284279841,-2.19283422903492,19.9385568138698,10.4486445421739,-0.816195634121504,0.138029346092871,2.21786727196879,428.1182506016,36.5231673392494,MoW,0.1,0,0,0,0.9,1,100,67
0.1_0_0_0_0.9_2,3.61049666323086,-2.18925640768704,19.997052649414,10.4775650575347,-0.818740715709437,0.141165359448425,2.23237255877067,428.375720612204,36.6342557024619,MoW,0.1,0,0,0,0.9,2,100,67
0.1_0_0_0_0.9_3,3.60356561864507,-2.1982250776698,19.8490105414768,10.402744812334,-0.816256302994985,0.131770550993258,2.19600097288976,427.775523281531,36.3377829058534,MoW,0.1,0,0,0,0.9,3,100,67
0.24_0.64_0.08_0_0.04_1,2.77240808193246,-2.33098456751574,8.89973975115833,4.59885194770447,-0.462456601104116,0.00802831736206713,0.861897969158786,216.008384148129,15.8317803378526,MoNbTaW,0.24,0.64,0.08,0,0.04,1,3,266
0.24_0.64_0.08_0_0.04_2,2.78276214845412,-2.31871447492392,8.9814341629362,4.63526608710515,-0.469630991807621,0.0108371805330301,0.880589638827451,216.099173461333,15.9679445647131,MoNbTaW,0.24,0.64,0.08,0,0.04,2,3,266
0.24_0.64_0.08_0_0.04_3,2.76573076125534,-2.33717653776366,8.85367241553417,4.58004436669906,-0.45748704775894,0.00652836383562055,0.85212216685048,215.775293331539,15.7602484359379,MoNbTaW,0.24,0.64,0.08,0,0.04,3,3,266
0.259711352455833_0.452956645498186_0.191609821074781_0.0593225998699225_0.036399581101278_1,2.93313686250353,-2.39032400730205,10.1098133597461,5.58234309946418,-0.419614245403846,-0.115903298063316,0.922387430044257,238.513417526204,18.5118115313907,MoNbTaVW,0.259711352455833,0.452956645498186,0.191609821074781,0.0593225998699225,0.036399581101278,1,19,53
0.259711352455833_0.452956645498186_0.191609821074781_0.0593225998699225_0.036399581101278_2,2.95805469854102,-2.37086393374734,10.3214439842134,5.6519740945984,-0.445825243082431,-0.104818352340281,0.96029006568498,241.353877164359,18.8146749960687,MoNbTaVW,0.259711352455833,0.452956645498186,0.191609821074781,0.0593225998699225,0.036399581101278,2,19,53
0.259711352455833_0.452956645498186_0.191609821074781_0.0593225998699225_0.036399581101278_3,2.96051271763041,-2.36446049671214,10.420515681827,5.6711546564672,-0.461244437369183,-0.0932989136388531,0.975769750810619,244.285890752997,18.9426326322176,MoNbTaVW,0.259711352455833,0.452956645498186,0.191609821074781,0.0593225998699225,0.036399581101278,3,19,53
0.25_0.25_0.25_0.25_0_1,2.69412839423458,-2.41017030367398,7.46957477303447,4.28115915311974,-0.0525298719926632,-0.0278368564274141,0.667830925021477,166.276847884752,14.6641439446137,Mo_Nb_Ta_V,0.25,0.25,0.25,0.25,0,1,0,54
0.25_0.25_0.25_0_0.25_1,3.02702867258104,-2.31465767422832,10.9457634051581,5.94260712055068,-0.362409264034098,-0.00564743016991571,1.07737583205873,246.619651762066,20.381859541353,Mo_Nb_Ta_W,0.25,0.25,0.25,0,0.25,1,0,55
0.25_0.25_0_0.25_0.25_1,2.98901164111057,-2.36233509739982,10.4735912828544,5.80530227385099,-0.305541844678506,-0.0545747676818837,0.982686861586284,238.093913123302,19.6707135757135,Mo_Nb_V_W,0.25,0.25,0,0.25,0.25,1,0,56
0.25_0_0.25_0.25_0.25_1,3.03330786837648,-2.3496767005279,10.5648183728913,6.0459538709668,-0.136811144276435,-0.0685611514202299,1.00378037713002,222.631145952955,20.5138750503702,Mo_Ta_V_W,0.25,0,0.25,0.25,0.25,1,0,57
0.2_0.2_0.2_0.2_0.2_1,2.92278999878791,-2.34132592131048,9.57864713911648,5.40689833060148,-0.158987341015272,-0.0424652019335496,0.91777667034738,204.77429386802,18.4440848846512,Mo_Nb_Ta_V_W,0.2,0.2,0.2,0.2,0.2,1,0,59
0.2_0.8_0_0_0_1,2.71786480505959,-2.34132592131047,8.59659574280252,4.35546372388199,-0.526054284569691,0.000869412322704231,0.824012990302912,215.10359757665,14.9497053098732,MoNb,0.2,0.8,0,0,0,1,0,58
0.2_0.8_0_0_0_2,2.72387382646049,-2.3351082846996,8.63706521485002,4.37300328295342,-0.529481865564652,0.00354482682214701,0.833074815278737,215.340650160287,15.0198672601476,MoNb,0.2,0.8,0,0,0,2,0,58
0.2_0.8_0_0_0_3,2.72209823864171,-2.3351082846996,8.63639724311829,4.37135278064297,-0.530209754670393,0.00304184356475068,0.833011256091924,215.273062927841,15.0134469288179,MoNb,0.2,0.8,0,0,0,3,0,58
0.2_0_0.8_0_0_1,2.99081494920236,-2.06988732887502,9.3526966719031,5.48111069198649,0.268646959398911,0.172521102791362,1.17633393048032,153.988017210572,19.8589800710791,MoTa,0.2,0,0.8,0,0,1,0,60
0.2_0_0.8_0_0_2,2.99630780113513,-2.06830379726937,9.36927156952168,5.49351914860866,0.271260997999187,0.17318364347627,1.18029049653512,153.972379956269,19.9045588102737,MoTa,0.2,0,0.8,0,0,2,0,60
0.2_0_0.8_0_0_3,3.02061199623065,-2.05104846717863,9.55688591255277,5.62412676692582,0.301693526212434,0.184038475260141,1.22492803455284,154.061644648754,20.4140500352876,MoTa,0.2,0,0.8,0,0,3,0,60
