alloy_rep_id,log_max_stress,log_max_strain,bc_1,bc_2,bc_3,bc_4,toughness,young_mod,frac_stress,alloy,Mo,Nb,Ta,V,W,rep,Experiment,alloy_cnt
0.3_0_0_0.7_0_3,2.33312093416483,-2.71810053695572,5.64026728186275,2.98547305518272,-0.226494334312129,-0.00198608984732892,0.370202813792077,188.444950651167,10.2775775662533,MoV,0.3,0,0,0.7,0,3,100,51
0.3_0_0_0_0.7_1,2.69756859995488,-3.09665819214394,8.02450386995468,4.33642497516625,-0.286598925539996,-0.0393969493010989,0.359755651264171,375.934375816077,14.7462669171545,MoW,0.3,0,0,0,0.7,1,100,52
0.3_0_0_0_0.7_2,2.70076614085148,-3.09665819214395,8.02378834291231,4.33603310211949,-0.285724032073687,-0.0378667040393976,0.35972262777469,375.9085057786,14.7506193129383,MoW,0.3,0,0,0,0.7,2,100,52
0.3_0_0_0_0.7_3,2.69014636907179,-3.11002141995612,7.93485024757466,4.29778303009157,-0.273051924216973,-0.0353584023581829,0.350965987306278,375.835593803439,14.6292862898879,MoW,0.3,0,0,0,0.7,3,100,52
0.428571428571429_0.21428571428571_0.0714285714285714_0.0714285714285714_0.214285714285714_1,2.51221835424451,-3.0878475624618,6.89683052849286,3.42936010700271,-0.266272137900405,-0.0381511747853352,0.311971258691626,300.675382912032,12.1090658537783,MoNbTaVW,0.428571428571429,0.21428571428571,0.0714285714285714,0.0714285714285714,0.214285714285714,1,17,37
0.428571428571429_0.21428571428571_0.0714285714285714_0.0714285714285714_0.214285714285714_2,2.50694615414989,-3.08784756246178,6.89322041299544,3.42468432273899,-0.269896977911697,-0.0430277644372628,0.311811274043791,300.429987751559,12.0773044569262,MoNbTaVW,0.428571428571429,0.21428571428571,0.0714285714285714,0.0714285714285714,0.214285714285714,2,17,37
0.428571428571429_0.21428571428571_0.0714285714285714_0.0714285714285714_0.214285714285714_3,2.49927492466836,-3.11002141995611,6.7612222706393,3.38924300582588,-0.248186266910304,-0.0363256248591601,0.299064538237097,301.053424322865,11.9478233166123,MoNbTaVW,0.428571428571429,0.21428571428571,0.0714285714285714,0.0714285714285714,0.214285714285714,3,17,37
0.468262892970793_0.205354348088931_0.0988444935627599_0.168163171984643_0.0593750933928729_1,2.47756096298069,-3.09665819214396,6.61751900363243,3.29015167276455,-0.226604362196877,-0.0422455689334345,0.296664405503915,285.543103021609,11.6665858410516,MoNbTaVW,0.468262892970793,0.205354348088931,0.0988444935627599,0.168163171984643,0.0593750933928729,1,15,36
0.468262892970793_0.205354348088931_0.0988444935627599_0.168163171984643_0.0593750933928729_2,2.47535566346522,-3.09665819214396,6.63471387211345,3.28862404609133,-0.227898171813586,-0.0415449488851505,0.29743587497681,285.708327553399,11.6800979454396,MoNbTaVW,0.468262892970793,0.205354348088931,0.0988444935627599,0.168163171984643,0.0593750933928729,2,15,36
0.468262892970793_0.205354348088931_0.0988444935627599_0.168163171984643_0.0593750933928729_3,2.47919326936713,-3.09665819214394,6.61962673235969,3.29109002821932,-0.226105434290337,-0.0396040226438915,0.296758392381028,285.789565260805,11.6780124919469,MoNbTaVW,0.468262892970793,0.205354348088931,0.0988444935627599,0.168163171984643,0.0593750933928729,3,15,36
0.471211344493835_0.393716987664529_0.028239730499606_0.0173855623909212_0.0894463749511089_1,2.37815616330509,-3.00780485478827,6.17732557680498,3.06861681170826,-0.297424625022228,-0.0542182412110846,0.302951221436214,256.538614480224,10.6637684256246,MoNbTaVW,0.471211344493835,0.393716987664529,0.028239730499606,0.0173855623909212,0.0894463749511089,1,2,35
0.471211344493835_0.393716987664529_0.028239730499606_0.0173855623909212_0.0894463749511089_2,2.37397282676201,-3.02002496612305,6.10752512178762,3.04669501056326,-0.287926050731845,-0.0523872171804787,0.295858063698158,256.669435708946,10.5813892828742,MoNbTaVW,0.471211344493835,0.393716987664529,0.028239730499606,0.0173855623909212,0.0894463749511089,2,2,35
0.471211344493835_0.393716987664529_0.028239730499606_0.0173855623909212_0.0894463749511089_3,2.36694452693457,-3.02002496612303,6.11364812757382,3.04713715316397,-0.288445380988693,-0.0518442700210155,0.29615487504177,256.850572280767,10.5885055830146,MoNbTaVW,0.471211344493835,0.393716987664529,0.028239730499606,0.0173855623909212,0.0894463749511089,3,2,35
0.4_0.6_0_0_0_1,2.23663176862764,-2.91877123241787,5.27594041827552,2.77346973065323,-0.306557959821077,-0.0588427944817481,0.283059682488795,217.378234732117,9.22501135615559,MoNb,0.4,0.6,0,0,0,1,0,38
0.4_0.6_0_0_0_2,2.24413395014521,-2.8895720777256,5.39037095428755,2.8127034359466,-0.334571742029598,-0.0633152057016703,0.297842169600556,217.445009414373,9.33468079143961,MoNb,0.4,0.6,0,0,0,2,0,38
